Postazione;Codice Faldone;Codice Scatola;Numero Documenti;Data Registrazione;
coop\jessica.fiorini;X610289932;S611446775;800;26/02/2026 21:15:10;
coop\jessica.fiorini;X610289934;S611446775;800;26/02/2026 21:15:10;
coop\jessica.fiorini;X610290026;S611446776;720;26/02/2026 21:51:10;
coop\jessica.fiorini;X610290027;S611446776;773;26/02/2026 21:51:10;
coop\jessica.fiorini;X610290028;S611446776;849;26/02/2026 21:51:10;
coop\jessica.fiorini;X610290029;S611446776;868;26/02/2026 21:51:10;
coop\jessica.fiorini;X610290073;S611446776;800;26/02/2026 21:51:10;
coop\jessica.fiorini;X620289769;S621444772;475;26/02/2026 17:10:51;
coop\jessica.fiorini;X620289770;S621444772;70;26/02/2026 17:10:51;
coop\jessica.fiorini;X620289771;S621444772;20;26/02/2026 17:10:51;
coop\jessica.fiorini;X620289772;S621444772;60;26/02/2026 17:10:51;
coop\jessica.fiorini;X620289773;S621444772;60;26/02/2026 17:10:51;
coop\jessica.fiorini;X620289764;S621445833;800;26/02/2026 17:08:55;
coop\jessica.fiorini;X620289765;S621445833;996;26/02/2026 17:08:55;
coop\jessica.fiorini;X620289766;S621445833;962;26/02/2026 17:08:55;
coop\jessica.fiorini;X620289767;S621445833;635;26/02/2026 17:08:55;
coop\jessica.fiorini;X620289768;S621445833;979;26/02/2026 17:08:55;
coop\jessica.fiorini;X620289754;S621445835;800;26/02/2026 17:14:45;
coop\jessica.fiorini;X620289755;S621445835;800;26/02/2026 17:14:45;
coop\jessica.fiorini;X620289756;S621445835;800;26/02/2026 17:14:45;
coop\jessica.fiorini;X620289757;S621445835;800;26/02/2026 17:14:45;
coop\jessica.fiorini;X620289758;S621445835;800;26/02/2026 17:14:45;
coop\jessica.fiorini;X620289988;S621445840;891;26/02/2026 21:59:35;
coop\jessica.fiorini;X620289989;S621445840;933;26/02/2026 21:59:35;
coop\jessica.fiorini;X620289990;S621445840;801;26/02/2026 21:59:35;
coop\jessica.fiorini;X620290070;S621445840;600;26/02/2026 21:59:35;
coop\jessica.fiorini;X620290071;S621445840;389;26/02/2026 21:59:35;
coop\jessica.fiorini;X620290060;S621447196;600;26/02/2026 22:03:31;
coop\jessica.fiorini;X620290061;S621447196;600;26/02/2026 22:03:31;
coop\jessica.fiorini;X620290062;S621447196;800;26/02/2026 22:03:31;
coop\jessica.fiorini;X620290063;S621447196;800;26/02/2026 22:03:31;
coop\jessica.fiorini;X620290064;S621447196;800;26/02/2026 22:03:31;
